RP,RP_Start,RP_End,Months_since_start,CP_C,Annual_Credit_C,Annual_Credit_C_Adj
1,2025-10-31,2026-06-30,60,46552.475,46552.475,25298.60625
2,2026-10-31,2027-06-30,72,55743.614,9191.139,6893.35425
3,2027-10-31,2028-06-30,84,64934.753,9191.139,6893.35425
4,2028-10-31,2029-06-30,96,74125.892,9191.139,6893.35425
5,2029-10-31,2030-06-30,108,83317.031,9191.139,6893.35425
6,2030-10-31,2031-06-30,120,92508.17,9191.139,6893.35425
7,2031-10-31,2032-06-30,132,101699.309,9191.139,6893.35425
8,2032-10-31,2033-06-30,144,110890.448,9191.139,6893.35425
9,2033-10-31,2034-06-30,156,120081.587,9191.139,6893.35425
10,2034-10-31,2035-06-30,168,129272.726,9191.139,6893.35425
11,2035-10-31,2036-06-30,180,138463.865,9191.139,6893.35425
12,2036-10-31,2037-06-30,192,138463.865,0.0,0.0
13,2037-10-31,2038-06-30,204,138463.865,0.0,0.0
14,2038-10-31,2039-06-30,216,138463.865,0.0,0.0
15,2039-10-31,2040-06-30,228,138463.865,0.0,0.0
16,2040-10-31,2041-06-30,240,138463.865,0.0,0.0
17,2041-10-31,2042-06-30,252,138463.865,0.0,0.0
18,2042-10-31,2043-06-30,264,138463.865,0.0,0.0
19,2043-10-31,2044-06-30,276,138463.865,0.0,0.0
20,2044-10-31,2045-06-30,288,138463.865,0.0,0.0
21,2045-10-31,2046-06-30,300,138463.865,0.0,0.0
